ds_sigla	no_titulo	nu_indice_h	no_estrato
SBAC-PAD	International Symposium on Computer Architecture and High Performance Computing	12	B1
SBIE	Simpósio Brasileiro de Informática na Educação	14	B1
SCAM	IEEE International Working Conference on Source Code Analysis and Manipulation	12	B1
SEAA	Euromicro Conference on Software Engineering and Advanced Applications	15	B1
SEFM	International Conference on Software Engineering and Formal Methods	14	B1
SEKE	International Conference on Software Engineering and Knowledge Engineering	12	B1
SIBGRAPI	Conference on Graphics, Patterns and Images	15	B1
SIMUTOOLS	International Conference on Simulation Tools and Techniques	17	B1
SOCINFO	International Conference on Social Informatics	15	B1
SOCS	International Symposium on Combinatorial Search	18	B1
SOFSEM	International Conference on Current Trends in Theory and Practice of Computer Science	17	B1
SOFTCOM	International Conference on Software, Telecommunications and Computer Networks	15	B1
SOFSEM	International Conference on Current Trends in Theory and Practice of Computer Science	17	B1
SOSE	IEEE International Symposium on Service-Oriented System Engineering	17	B1
SPIRE	International Symposium on String Processing and Information Retrieval 	15	B1
SPLASH	ACM SIGPLAN Conference on Systems, Programming, Languages and Applications: Software for Humanity	13	B1
SRDS	IEEE Symposium on Reliable Distributed Systems	17	B1
SSBSE	International Symposium on Search Based Software Engineering	15	B1
SSDBM	International Conference on Scientific and Statistical Database Management	16	B1
SUM	International Conference on Scalable Uncertainty Management	13	B1
TPDL	International Conference on Theory and Practice of Digital Libraries	13	B1
UKSIM	International Conference on Modelling and Simulation	15	B1
VCIP	IEEE International Conference on Visual Communications and Image Processing	17	B1
VISAPP	International Conference on Computer Vision Theory and Applications	13	B1
VLHCC	IEEE Symposium on Visual Languages and Human-Centric Computing	15	B1
VLSID	International Conference on VLSI Design	16	B1
VLSI	International Conference on Very Large Scale Integration	12	B1
VRCAI	International Conference on Virtual Reality Continuum and its Applications	12	B1
VTS	IEEE VLSI Test Symposium	15	B1
WABI	Workshop on Algorithms in Bioinformatics	14	B1
WCNC	IEEE Wireless Communications and Networking Conference	16	B1
WD	Wireless Days Conference	14	B1
WEB3D	International Conference on 3D Web Technology	16	B1
WETICE	IEEE International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises	14	B1
WEBI	International Conference on Web Intelligence	18	B1
WICSA	Working IEEE/IFIP Conference on Software Architecture	17	B1
WISE	International Conference on Web Information Systems Engineering	15	B1
WI-WIC	IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology	18	B1
XP	International Conference on Agile Software Development	13	B1
3PGCIC	International Conference on P2P, Parallel, Grid, Cloud and Internet Computing	11	B2
AAIM	International Conference on Algorithmic Aspects of Information and Management	0	B2
ACIVS	Advanced Concepts for Intelligent Vision Systems	11	B2
ADHOC-NOW	Ad-Hoc, Mobile and Wireless Networks	11	B2
AGERE	Workshop on Programming based on Actors, Agents, and Decentralized Control	0	B2
AICCSA	ACS/IEEE International Conference on Computer Systems and Applications	8	B2
AICT	International Conference on Application of Information and Communication Technologies	10	B2
AMIA	Annual Symposium of the American Medical Informatics Association	25	B2
AMW	Alberto Mendelzon International Workshop on Foundations of Data Management	11	B2
ANTS	International Conference on Swarm Intelligence	0	B2
ASYNC	IEEE International Symposium on Asynchronous Circuits and Systems	0	B2
ATC	International Conference on Advanced Technologies for Communications	9	B2
BIBE	IEEE International Conference on BioInformatics and BioEngineering	11	B2
BIR	International Conferences on Perspectives in Business Informatics Research	10	B2
BMEI	International Conference BioMedical Engineering and Informatics	11	B2
BRC	ISSNIP Biosignals and Biorobotics Conference	9	B2
CC	International Conference on Compiler Construction	0	B2
CITS	International Conference on Computer, Information, and Telecommunication Systems	9	B2
COGSCI	Annual Meeting of the Cognitive Science Society	24	B2
CompSysTech	International Conference on Computer Systems and Technologies	9	B2
COSN	Conference on Online Social Networks	0	B2
CSIIRW	Annual Cyber Security and Information Intelligence Research Workshop	8	B2
DAIS	International Conference on Distributed Applications and Interoperable Systems	0	B2
DCAI	International Symposium on Distributed Computing and Artificial Intelligence	10	B2
DILS	International Conference on Data Integration in Life Sciences	0	B2
DSRT	IEEE/ACM International Symposium on Distributed Simulation and Real Time Applications	11	B2
ECC	European Control Conference	20	B2
ECCE	European Conference on Cognitive Ergonomics	9	B2
ECCTD	European Conference on Circuit Theory and Design	11	B2
ECMS	European Conference on Modelling and Simulation	11	B2
ENASE	International Conference on Evaluation of Novel Approaches to Software Engineering	8	B2
EPIA	Portuguese Conference on Artificial Intelligence	11	B2
ETFA	IEEE International Conference on Emerging Technologies and Factory Automation	21	B2
EUC	IEEE/IFIP International Conferences on Embedded and Ubiquitous Computing	10	B2
EUMAS	European Conference on Multi-Agent Systems	0	B2
EUSFLAT	Conference of the European Society for Fuzzy Logic and Technology	11	B2
EUVIP	European Workshop on Visual Information Processing	10	B2
EVOLVE	The EVOLVE International conference	0	B2
EWSN	European Conference on Wireless Sensor Networks	0	B2
FACS	International Conference on Formal Aspects of Component Software	0	B2
FAW	International Frontiers of Algorithmics Workshop	9	B2
FDL	Forum on Specification & Design Languages	9	B2
FG	Conference on Formal Grammar	0	B2
GIIS	Global Information Infrastructure and Networking Symposium	8	B2
GPC	International Conference on Grid And Pervasive Computing	9	B2
GPCE	ACM International Conference on Generative Programming: Concepts and Experiences	0	B2
GRAPP	International Conference on Computer Graphics Theory and Applications	11	B2
GROUP	International Conference on Supporting Group Work	10	B2
HEALTHCOM	IEEE International Conference on E-health Networking, Application & Services	10	B2
HIS	International Conference on Hybrid Intelligent Systems	10	B2
IAS	Industry Applications Society Annual Meeting	21	B2
IBERAMIA	Ibero-American Conference on Artificial Intelligence	9	B2
IbPRIA	Iberian Conference on Pattern Recognition and Image Analysis	10	B2
