ds_sigla	no_titulo	no_estrato
IPCCC	International Performance, Computing, and Communications Conference	B1
IPCO	Conference on Integer Programming and Combinatorial Optimization	B1
IRI	IEEE International Conference on Information Reuse and Integration	B1
ISAAC	International Symposium Algorithms and Computation	B1
ISCIS	International Symposium on Computer and Information Sciences	B1
ISDA	International Conference on Intelligent Systems Design and Applications	B1
ISEUD	International Symposium on End-User Development	B1
ISI	IEEE International Conference on Intelligence and Security Informatics	B1
ISM	IEEE International Symposium on Multimedia	B1
ISMIS	International Symposium on Methodologies for Intelligent Systems	B1
ISMM	International Symposium on Mathematical Morphology	B1
ISNN	International Symposium on Neural Networks	B1
ISOLA	International Symposium on Leveraging Applications of Formal Methods, Verification and Validation	B1
ISORC	IEEE International Symposium on RealTime Distributed Computing	B1
ISPD	ACM International Symposium on Physical Design	B1
ISPDC	International Symposium on Parallel and Distributed Computing	B1
ISQED	International Symposium on Quality Electronic Design	B1
ISVC	International Symposium on Visual Computing	B1
ISVLSI	IEEE Computer Society Annual Symposium on VLSI	B1
ITC	International Test Conference	B1
ITNG	International Conference on Information Technology : New Generations	B1
ITS	International Conference on Intelligent Tutoring Systems	B1
IV	International Conference on Information Visualization	B1
IVA	International Conference on Intelligent Virtual Agents	B1
IVAPP	International Conference on Information Visualization Theory and Applications	B1
IVS	Intelligent Vehicles Symposium	B1
IWANN	International Work-Conference on Artificial and Natural Neural Networks	B1
IWSSIP	International Conference on Systems, Signals and Image Processing	B1
KES	International Conference on Knowledge-Based and Intelligent Information & Engineering Systems	B1
KESAMSTA	International KES Conference on Agents and Multi-Agent Systems: Technologies and Applications	B1
LATIN	Latin American Symposium on Theoretical Informatics	B1
LCN	IEEE Conference on Local Computer Networks	B1
LION	Learning and Intelligent Optimization Conference	B1
LPNMR	International Conference on Logic Programming and Non-monotonic Reasoning	B1
MEDHOCNET	Mediterranean Ad Hoc Networking Workshop	B1
MICAI	Mexican International Conference on Artificial Intelligence	B1
MIG	ACM Siggraph Conference on Motion in Games	B1
MLDM	International Conference on Machine Learning and Data Mining in Pattern Recognition	B1
MLSP	IEEE International Workshop on Machine Learning for Signal Processing	B1
MMM	International Conference on Multimedia Modelling	B1
MMSP	International Workshop on Multimedia and Signal Processing	B1
MOBIQUITOUS	International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services	B1
MSWIM	ACM International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems	B1
MUM	International Conference on Mobile and Ubiquitous Multimedia	B1
MWSCAS	International Midwest Symposium on Circuits and Systems	B1
NCA	IEEE International Symposium on Network Computing and Applications	B1
NEWCAS	IEEE International New Circuits and Systems Conference	B1
NIME	International Conference on New Interfaces for Musical Expression	B1
